"Electrical Engineering, B.S.: 125 units"
BIO 1110
CHM 1150
ECE 1101
ECE 1101L
ECE 1310
ECE 2101
ECE 2101L
ECE 2200
ECE 2200L
ECE 2300
ECE 2300L
ECE 3101
ECE 3101L
ECE 3200
ECE 3200L
ECE 3250
ECE 3301
ECE 3301L
ECE 3709
ECE 3709L
ECE 3715
ECE 3810
ECE 3810L
ECE 4064
ECE 4705
ECE 4705L
EGR 4810
EGR 4820
EGR 4830
MAT 1140
MAT 1150
MAT 2140
MAT 2240
PHY 1510
PHY 1510L
PHY 1520
PHY 1520L
ECE 4200
ECE 4200L
ECE 4201
ECE 4201L
ECE 4203
ECE 4203L
ECE 4250
ECE 4251
ECE 4252
ECE 4260
ECE 4300
ECE 4301
ECE 4303
ECE 4303L
ECE 4304
ECE 4304L
ECE 4305
ECE 4305L
ECE 4309
ECE 4310
ECE 4311
ECE 4317
ECE 4318
ECE 4319
ECE 4320
ECE 4320L
ECE 4703
ECE 4704
ECE 4708
ECE 4709
ECE 4715
ECE 4719
ECE 4735
ECE 4821
ECE 4821L
ECE 4822
ECE 4822L
ECE 4868
ECE 4869
ECE 4875
ECE 4890
ECE 4890L
ECE 4990
ECE 4990L
ECE 3201
ECE 3201L
ECE 3300
ECE 3300L
ECE 3310
CPU 3003
