"Electromechanical Systems Engineering Technology, B.S.: 124 units"
CHM 1150
EGR 1000
EGR 1000L
EGR 4810
EGR 4820
EGR 4830
ETE 1151
ETE 1151L
ETE 2011
ETE 2011L
ETE 3211
ETE 3211L
ETE 4751
ETE 4751L
ETM 2101
ETM 2111
ETM 2171
ETM 2201
ETM 2201L
ETM 3061
ETM 3081
ETM 3101
ETM 3121
ETM 3141L
ETM 3151
ETM 3151L
ETM 3301
ETM 3301L
ETM 3341
IME 4020
MAT 1300
MAT 1310
MFE 1260
MFE 1260L
MFE 2010
MFE 2010L
PHY 1210
PHY 1210L
PHY 1220
PHY 1220L
ETM 3051
ETM 3351
ETM 4101
ETM 4101L
ETM 4151
ETE 3501
ETE 3501L
ETM 4191
ETM 4211
ETM 4990
ETM 4990L
